Content,manipulations
"Чернигов прилет во многоэтажку. Говорят русская ракета, но сейчас хз, город ведь под контролем РФ. Люди прячьтесь в подвалы, таких случаев может быть много!","['Appeal_to_fear-prejudice\t139\t156\n', 'Appeal_to_fear-prejudice\t104\t113\n', 'Doubt\t66\t68\n']"
"Председатель Следственного комитета РФ Александр Бастрыкин поручил проверить информацию об обстрелах украинскими силовиками станицы в Краснодарском крае, где, по данным СМИ, пострадали три человека, и инцидента в Ростовской области. Протестующие у посольства России в Ирландии против спецоперации на Украине повредили машину одного из дипломатов, однако не срывали герб с ворот диппредставительства, уточнил представитель посольства.","['Appeal_to_Authority\t0\t76\n', 'Exaggeration,Minimisation\t284\t296\n']"
"«К военным подошли бабушки и попросили убрать «Аллею славы героев Украины», сказали: «Мы ждали 8 лет вас, и дождались наконец». Ничто человеческое не чуждо и военным, они сразу же сравнили цены в магазинах с Луганском. И прямо при нас Станица Луганская перешла с гривен на рубли. Сейчас на переходе оживленное движение. Люди идут и из Станицы Луганской, и в Станицу Луганскую, и все друг друга поздравляют»: Что происходит в Станице Луганской в первые часы после освобождения","['Flag-Waving\t19\t38\n', 'Slogans\t128\t165\n', 'Exaggeration,Minimisation\t379\t405\n', 'Slogans\t86\t104\n']"
"С уважение отношусь к Лобаеву, но Владислав, если у вас есть вопросы к «прославленным» корреспондентам ВГТРК, обращайтесь. Тем более, уверен, знаете как выйти на связь) Растолкую все. А публичную истерику прекратите. Я же вас не учу делать винтовки. https://t.me/lobaev_vlad/1658","['Loaded_Language\t186\t204\n', 'Loaded_Language\t71\t86\n']"
⚠️ ? Зафиксирован обстрел со стороны ВФУ по направлению: ▶️ 01:15 - н.п. Невельское - н.п. Лозовое: выпущено 3 мины калибром 120 мм;,[]
"Минобороны заявило, что обеспечивает безопасность Чернобыльской АЭС совместно с нацгвардией Украины. «С военнослужащими отдельного батальона охраны АЭС национальной гвардии Украины достигнута договорённость о совместном обеспечении безопасности энергоблоков, саркофага и хранилища отработанного ядерного топлива. Персонал АЭС продолжает работы по отслеживанию радиоактивной обстановки и обслуживанию АЭС в штатном режиме». В ведомстве утверждают, что совместная охрана ЧАЭС силами российских десантников и украинских военнослужащих нацелена на предотвращение «ядерных провокаций».","['Obfuscation,Intentional_Vagueness,Confusion\t559\t579\n', 'Appeal_to_Authority\t0\t18\n', 'Appeal_to_fear-prejudice\t544\t579\n', 'Appeal_to_Authority\t423\t445\n']"
Ми-35 ВКС России прикрывает колонну,[]
? Ещё видео со зданием СБУ в Чернигове,[]
"Блинкен в разговоре с Кулебой заявил, что США продолжат предоставлять Украине помощь для защиты от России, заявили в Госдепе.",[]
⚡️  Эдуарб Басурин:  Подразделения ДНР взяли под свой контроль населённые пункты Павлополь и Пищевик на Мариупольском направлении,[]
"ахеджакова пожертвовала 10 тыс долл украинской армии. Пожертвовала деньги на убийство русских солдат. “Пойдут в правильное, сука, русло»!!!! Млять, что у людей с головами? Что с головами у людей, живущих в России, и ставящих под этим «лайки»? Лишить её гражданства и сбросить на парашюте в Киев. Пусть украинское ПВО поработает, не жалко.","['Loaded_Language\t141\t146\n', 'Appeal_to_fear-prejudice\t243\t264\n', 'Appeal_to_fear-prejudice\t267\t295\n', 'Loaded_Language\t124\t128\n', 'Straw_Men\t54\t100\n']"
⚡️ В Одессе ввели комендантский час,[]
"⚡️ Министр обороны США Ллойд Остин говорил со своим украинским коллегой Алексеем Резниковым и пообещал, что США продолжат оказывать оборонительную помощь Киеву перед лицом ""необоснованной и неспровоцированной войны"" России.",[]
Утро в Северодонецке (Луганская обл.),[]
Разбитая техника ВСУ в Харькове,[]
?? Харьков днем. Суровые бои,[]
"Специальная военная операция России направлена на то, чтобы остановить милитаризацию Украины, заявила Матвиенко. Спикер Совета Федерации добавила, что РФ просто не оставили другого выбора.","['Exaggeration,Minimisation\t0\t28\n', 'Black-and-White_Fallacy\t161\t187\n']"
Теперь Дудю - пиздец. https://t.me/svezhesti/39387,['Loaded_Language\t14\t20\n']
"Большую часть сил реагирования НАТО, уровень готовности которых повышен, составляют военные США со значительными контингентами Франции и ФРГ, сообщает генсек.",[]
Мосбиржа 28 февраля не будет проводить утренние торги на рынке акций и срочном рынке.,[]
Российские танки в Бахмаче Черниговской области,[]
⚡️ Великобритания официально ввела санкции против Путина и Лаврова Карточка Владимира Путина в британском санкционном листе.,[]
Венгрия предложила провести переговоры России и Украины на своей площадке. @rt_russian,[]
? ? ? Мощный пожар на нефтебазе под Васильковым после удара t.me/RVvoenkor,"['Exaggeration,Minimisation\t6\t12\n']"
"Зеленский доказывает, что он не в бункере, что не уехал из Киева: публикует видео в Telegram. @rt_russian",[]
"Пока украинские националисты призывают к ведению интернет-войны с помощью фотографий подбитой техники ВС РФ, в сети появляются все больше снимков сожженной техники ВСУ",['Flag-Waving\t5\t28\n']
?? ?? Т-72Б3 и БМП-3 в направлении Мариуполя,[]
▫️ На Бориспольской трассе ВСУ пытаются задержать русских оригинальным способом. Публикует украинское информагентство УНИАН,[]
"Мантра на российском телевидении про ""нацбаты"", видимо, пролезла и в аналитику и сыграла злую шутку. Приходилось слышать даже от здравых людей эту хрень, что есть "" ВСУшники"", а есть ""нацбаты"". Надоело объяснять, что это сейчас не весна 2014 года и такого яркого разделения уже нет. Любой в фирме и с оружием - враг! Пожалели 24го ночью казармы ВСУ, теперь несем потери.","['Flag-Waving\t37\t46\n', 'Loaded_Language\t147\t152\n']"
"Большая часть жителей поселка Металлист около Луганска остаются в своём поселении. Здесь уже несколько дней нет света и воды, но жители заранее ей запаслись. Газ в домах есть. В четырех магазинах поселка наблюдаются перебои с поставками продуктов, сообщает наш корреспондент. Фото: Михаил Скуратов/ТАСС",[]
"Бандеровская пропаганда работает в режиме ""фейк"". Нам не привыкать. В этот раз распущена дезинформация, что в глубине Украины уничтожена группа чеченских военнослужащих, и среди прочих уничтоженных командир 141-го специального моторизованного полка войск национальной гвардии РФ имени Первого Президента ЧР, Героя России Ахмата-Хаджи Кадырова Магомед Тушаев, а также командир ОМОН ""Ахмат-Грозный"" УФСВНГ РФ по ЧР Анзор Бисаев. Я связался с парнями. Они живее всех живых, и тем более живее тех, кто с дивана строчит фейки! У парней боевой настрой, ни единой царапины, полный боекомплект и полные запасы домашнего сушеного мяса (оно даст силу в самом тяжёлом походе), а также огромное сожаление, что в сутках всего лишь 24 часа. Ведь иначе, операцию можно было бы закончить уже сегодня.","['Flag-Waving\t0\t12\n', 'Causal_Oversimplification\t727\t784\n']"
"Сегодня подтвердился наш #Инсайд , что Зеленский отказался эвакуироваться. Президент Украины отклонил просьбу США об эвакуации Киева, заявив: ""Мне нужны боеприпасы, а не транспорт"" - AP https://t.me/rezident_ua/10420",[]
"Работа ПВО ВСУ над Одессой. Это древние ""Зушки"", больше пригодны для стрельбы по самолетам 20 века. Но техника антифашистов, мягко говоря, поновее.",['Flag-Waving\t111\t123\n']
"⚡️ ?? ?? ❓ ? ?? Срочно. В подтверждение ниже опубликованной информации ❗️  По информации из Киева и Житомира, бензокалонки азербайджанской нефтеналивной сети ""СОКАР"" получили прямой приказ из Баку бесплатно заправлять горючим военную технику ВСУ. Данная сеть напрямую принадлежит Ильхаму Алиеву и его семье,хотя номинально является государственной азербаджанской компанией . Информацию легко проверить любому желающему ,который имеет связь с Киевом. Азерасты в очередной раз ударили в спину русским. ... ФСБ еще не поехало за Коротченко и Шевченко? В чем задержка? https://t.me/conqueror95/14962",['Flag-Waving\t450\t458\n']
"Эксклюзив RT Военкор Семён @wargonzo Пегов — на бывших позициях ВСУ на волновахском направлении. Там обнаружена шведская переносная противотанковая управляемая ракета NLAW , брошенные снаряды от РПГ, бронежилеты и украинский флаг. @rt_russian",[]
"СМОТРИМ В HD ТУТ ? - https://smotrim.ru/vesti/?utm_source=youtube&utm_medium=all&utm_campaign=all_0
 Подпишитесь на канал Россия24: https://www.youtube.com/c/russia24tv?sub_confirmation=1
 В Москве из собственного дома таинственно исчезла дочь известного советского дипломата. Родственники пожилой женщины полагают, что не обошлось без криминала.
 
 Последние новости России и мира, политика, экономика, бизнес, курсы валют, культура, технологии, спорт, интервью, специальные репортажи, происшествия и многое другое.
 #Россия24 #Вести #Новости
 
 Официальный YouTube канал ВГТРК. 
 Россия 24 - это единственный российский информационный канал, вещающий 24 часа в сутки. Мировые новости и новости регионов России. Экономическая аналитика и интервью с влиятельнейшими персонами. 
 
 Смотрите также:
 Вести недели с Дмитрием Киселевым - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaTpipoWQNR1ya5zp19Gc4ZB
 Вести в субботу с Сергеем Брилевым - https://www.youtube.com/playlist?list=PL6MnxjOjSRsQAPpOhH0l_GTegWckbTIB4 
 Воскресный вечер с Владимиром Соловьевым - https://www.youtube.com/playlist?list=PLwJvP0lZee7zYMGBmzUqNn16P71vHzgkU
 60 минут - https://www.youtube.com/channel/UCR16nHT1nkmG7g9AkE9tGeQ?sub_confirmation=1
 Новости в прямом эфире - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaQ73BA1ECZR916u5EI6DnEE
 Международное обозрение - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaSEmz_g88P4pjTgoDzVwfP7
 Специальный репортаж - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaQLdG0uLyM27FhyBi6J0Ikf",[]
"Папа Римский Франциск позвонил Владимиру Зеленскому и выразил скорбь в связи с событиями на Украине, сообщило посольство Украины при Святом престоле.",[]
Петя Порошенко выдает нацистам кулеметы.,[]
"#ПрямоСейчас ведем прямую трансляцию из Луганска. 
 
 Видео: ТАСС/Ruptly
 
 Подписывайтесь на ТАСС: http://www.youtube.com/c/TASSagency/?sub_confirmation=1
 
 Наш сайт: https://tass.ru/
 Мы ВКонтакте: https://vk.com/tassagency
 Мы в Facebook: https://www.facebook.com/tassagency/
 Мы в Instagram: https://www.instagram.com/tass_agency/
 Мы в Одноклассниках: https://ok.ru/tassagency
 Мы в Twitter: https://twitter.com/tass_agency
 Мы в Telegram: https://t.me/tass_agency
 Мы в Viber: https://vb.me/tass_agency
 
 #Луганск #ПрямаяТрансляцияИзЛуганска #СитуацияВЛНР #СитуацияВДНР #ЛуганскВПрямомЭфире #НовостиЛуганска #ЛНР #НовостиЛНР",[]
"Военкор Z Медведев ⚡️ ❗️ Уточнения по Горловке: прилет в центр города был не один, серьезно повреждена гражданская инфраструктура, попадания в районе ТТУ, разбиты новые автобусы, которые только недавно вышли на маршруты города. Серьезные повреждения административных зданий. Киев нанес целенаправленный удар из тяжёлого вооружения фактически в сердце города. Такая обстановка наблюдается в Горловке уже который день подряд...",[]
