Content,manipulations
"❗️ Песков: санкции запада весьма серьезные, Россия готовилась к ним заблаговременно, принимает меры для бесперебойной работы экономики, потенциал есть",['Appeal_to_Authority\t0\t10\n']
ПРАВИЛЬНЫЕ ТАНКИ - уступают дорогу на трассе!,['Loaded_Language\t0\t16\n']
Местные и украинская полиция рядом с российскими танками в Харькове. Принципиально украино-говорящая жиночка решила подсесть на уши нашим бойцам.,"['Name_Calling,Labeling\t101\t108\n']"
"С 28 февраля в Москве начнут увеличивать объемы плановой помощи в поликлиниках, сообщил Собянин.",[]
"В Докучаевске ранения получили две женщины. Также, только за сегодня повреждены здания зоопарка, больницы и городской котельной. Поврежден газопровод. Обстрел продолжается, потому говорить о суммарных потерях и разрушениях еще рано. @epoddubny",[]
В Святошинском районе Киева слышны взрывы,[]
"Obama Secretly Tried to Get Banks to Aid Iran, Banks Refused
 
 International financial institutions get a lot of heat for terror state ties.
 But this is a case where Obama Inc. tried to get them to do the wrong thing.
 While they did the right thing.
 The Obama administration secretly sought to give Iran access — albeit briefly — to the U.S. financial system by sidestepping sanctions kept in place after the 2015 nuclear deal, despite repeatedly telling Congress and the public it had no plans to do so.
 Yet another Obama dirty deal with Iran that we're just learning about now.
 The question is how many more are there?
 And that's part of why Spygate is happening.
 The assault is also a cover-up.
 The report by the Senate Permanent Subcommittee on Investigations revealed that under President Barack Obama, the Treasury Department issued a license in February 2016, never previously disclosed, that would have allowed Iran to convert $5.7 billion it held at a bank in Oman from Omani rials into euros by exchanging them first into U.S. dollars.
 If the Omani bank had allowed the exchange without such a license, it would have violated sanctions that bar Iran from transactions that touch the U.S. financial system.
 The effort was unsuccessful because American banks — themselves afraid of running afoul of U.S. sanctions — declined to participate.
 The Obama administration approached two U.S. banks to facilitate the conversion, the report said, but both refused, citing the reputational risk of doing business with or for Iran.
 That's how bad Obama was on Iran.
 The banking system was more reluctant to help Iran launder money than he was.
 Nor was Obama worried about the reputational risk of loading foreign currency on unmarked cargo planes and flying it to Iran.
 Issuing the license was not illegal.
 Still, it went above and beyond what the Obama administration was required to do under the terms of the nuclear agreement.
 Except Obama Inc. weren't trying to drive a hard bargain.
 So they didn't stick to it.
 They were trying to aid Iran.
 Shortly after the nuclear deal was sealed in July 2015, then-Treasury Secretary Jack Lew testified that even with the sanctions relief, Iran “will continue to be denied access to the world’s largest financial and commercial market.” A month later, one of Lew’s top deputies, Adam Szubin, testified that despite the nuclear deal “Iran will be denied access to the world’s most important market and unable to deal in the world’s most important currency.”
 This was typical of the worthless assurances that Obama officials made.
 And disgraced themselves by doing so.
 Obama administration officials at the time assured concerned lawmakers that a general license wouldn’t be coming.
 But the report from the Republican members of the Senate panel showed that a draft of the license was indeed prepared, though it was never published.
 And when questioned by lawmakers about the possibility of granting Iran any kind of access to the U.S. financial system, Obama-era officials never volunteered that the specific license for Bank Muscat in Oman had been issued two months earlier.
 Scandal-free administration, folks.
 Not a single scandal to see here.
 Not a one.
 
","['Doubt\t595\t618\n', 'Loaded_Language\t2572\t2581\n', 'Loaded_Language\t2520\t2529\n', 'Exaggeration,Minimisation\t2414\t2435\n', 'Exaggeration,Minimisation\t3185\t3196\n', 'Repetition\t3115\t3122\n', 'Repetition\t3164\t3171\n', 'Exaggeration,Minimisation\t2470\t2493\n', 'Name_Calling,Labeling\t1540\t1543\n', 'Loaded_Language\t1540\t1543\n', 'Loaded_Language\t522\t532\n']"
"The Goal Of Eliminating Guns Is Ultimately A Fool’s Errand
 
 It is said that the DOJ's recent settlement with start-up company Defense Distributed (DD) essentially deals a death blow to gun control advocates.
 DD, based in Austin, TX, was founded by 25-year-old Cody Wilson in 2013.
 The company's main product is a ""gun fabricator"" called the Ghost Gunner.
 With nothing but the Ghost Gunner, an internet connection, and some raw materials, anyone, anywhere can make an unmarked, untraceable gun in their home or garage.
 The settlement states that 3D printing tutorials are approved “for public release (i.e.
 unlimited distribution) in any form.”
 Wilson created a ruckus in May 2013 when he announced his successful design of a plastic gun.
 In just two days, 100,000 copies of the handgun blueprint were downloaded from Wilson’s website.
 take our poll - story continues below
 Will Brett Kavanaugh be confirmed to the Supreme Court?
 Will Brett Kavanaugh be confirmed to the Supreme Court?
 Will Brett Kavanaugh be confirmed to the Supreme Court?
 * Yes, he will be confirmed.
 No, he will not be confirmed.
 Email *
 Name This field is for validation purposes and should be left unchanged.
 Completing this poll grants you access to Freedom Outpost updates free of charge.
 You may opt out at anytime.
 You also agree to this site's Privacy Policy and Terms of Use.
 The most downloads came from Spain, followed by the U.S., Brazil and Germany.
 The heavy downloading in Spain, Brazil and Germany likely reflected attempts to evade extremely restrictive handgun regulations in those countries.
 Within days of the gun file being uploaded, the Obama State Department served Wilson with a letter threatening criminal prosecution for violating federal export controls.
 Wilson immediately complied with the order, but there was no way to stop further downloading.
 Within a week of the initial uploading, the file could be downloaded on the Internet from over 4,000 different computers around the world.
 In 2015, the Second Amendment Foundation (SAF) and DD sued the State Department, arguing that ""sharing instructions on how to make guns with 3D printers counts as constitutionally protected speech.
 This is an important victory for First Amendment rights.""
 The Justice Department’s recent settlement with Wilson is very favorable to him, allowing Wilson to provide the printing instructions “for public release (meaning unlimited distribution) in any form.” The government also compensated $40,000 of Wilson’s legal costs.
 While this settlement is a victory for First Amendment rights, it will be difficult, if not impossible, for the government to regulate either the printers or the guns that are made with them.
 How the government will stop people from obtaining these printers isn’t exactly obvious.
 Proposals to require background checks, mandatory serial numbers and even a registration process for printers are easily defeated.
 Even if printers are registered with the government, what is going to stop gangs from stealing them?
 And the designs for making your own printer have been available on the Internet for years.
 3D printers make the already extremely difficult job of controlling access to guns practically impossible.
 The government is not going to be able to ban guns, and limits on the size of bullet magazines will be even more laughable than before.
 Many parts of a gun can be made on very inexpensive, plastic 3D printers or even from simple machine tools.
 It will be even more difficult to impose background checks, which have proven quite useless anyway.
 The government has been no more effective at stopping criminals from getting guns than at stopping them from obtaining drugs.
 That isn’t too surprising, as drug gangs are the source of both illegal drugs and guns.
 This was a tough battle for the plaintiff's, SAF and DD.
 They lost many lower court rulings.
 Gun-control advocates believe that the government ""capitulated"" too soon.
 J. Adam Skaggs, the chief counsel for the Giffords Law Center to Prevent Gun Violence, said the administration “capitulated in a case it had won at every step of the way.
 This isn’t a case where the underlying facts of the law changed.
 The only thing that changed was the administration.”
 The concept of making guns with 3D printers in an age where just one year can render much technology obsolete shouldn't surprise anyone.
 Nor should the fact that instructions for gun assembly are easily available for download over the internet.
 At the click of a mouse, we can summon almost any information we could possibly need including instructions for making a bomb.
 The ability to build an untraceable, unregistered gun is definitely a game changer.
 It's difficult to see how ""ghost guns"" could ever be regulated by the government.
 
","['Loaded_Language\t4034\t4066\n', 'Loaded_Language\t43\t58\n', 'Exaggeration,Minimisation\t1518\t1578\n', 'Exaggeration,Minimisation\t2569\t2608\n', 'Loaded_Language\t4671\t4685\n', 'Doubt\t3561\t3685\n', 'Exaggeration,Minimisation\t3122\t3215\n', 'Doubt\t3521\t3559\n', 'Loaded_Language\t651\t668\n', 'Name_Calling,Labeling\t4714\t4724\n', 'Doubt\t4113\t4228\n', 'Loaded_Language\t3903\t3930\n', 'Loaded_Language\t3320\t3340\n', 'Loaded_Language\t163\t182\n']"
"В продолжение темы: Азербайджанская SOCAR велела своим АЗС в Украине бесплатно снабжать бензином и дизельным топливом транспорт социальных служб Украины: азербайджанские СМИ Ну, что, Россия,как вам ваш новый союзник? @armmirotvorec","['Loaded_Language\t190\t197\n', 'Loaded_Language\t174\t181\n', 'Loaded_Language\t190\t215\n']"
Мародеры на дорогах. Будьте острожны !,"['Appeal_to_fear-prejudice\t1\t19\n', 'Appeal_to_fear-prejudice\t22\t36\n']"
