Content,manipulations
"Минпромторг не исключает временных логистических сложностей с поставками автомашин в РФ на фоне общемировой обстановки. Также Минпромторг следит за ситуацией с поставками автомобилей в РФ, готов искать решения проблем с производителями, сообщили в Министерстве.",
"В Харькове на данный момент наблюдается тревожная обстановка - за все три дня страшных событий это самая мощная перестрелка. И по информации источника, ночь сегодня будет сложной для Киевской области, Харькова, Винницы. Это мы и наблюдаем уже сейчас...","Appeal_to_Authority	125	151
"
"Beware sonic weapon attacks, US tells citizens in China

An employee of the American embassy in Guangzhou was diagnosed with a mild traumatic brain injury
The US has warned its citizens in China to be vigilant for “abnormal sensations of sound and pressure” as it opened an investigation into whether officials were targeted with a sonic weapon that caused a brain injury.
An American government employee stationed in the southern city of Guangzhou recently reported “subtle and vague, but abnormal, sensations of sound and pressure”, the embassy in China said yesterday.
The employee was diagnosed with a mild traumatic brain injury in an incident with echoes of suspected “sonic attacks” on American diplomats in Cuba last year.
Mike Pompeo, the US secretary of state, said that medical teams were travelling to Guangzhou to investigate.
The government employee’s symptoms were “very similar and entirely consistent” with those suffered in Cuba, he…

","Appeal_to_fear-prejudice	0	6
"
‼️ Мэр Новой Каховки подтвердил освобождение города. На большинстве зданий уже висят российские флаги! ??,"Red_Herring	32	51
Appeal_to_Authority	3	31
"
"Google Was ‘Working To Get Hillary Clinton Elected’

Tucker Carlson just blew the cover off the 2016 election influence charade, after he read an internal email on Monday night’s show from a senior Google employee who admitted to using company resources to make a “silent donation” to a liberal group that was creating ads and donating funds to bus Latinos to voting stations during the 2016 election in key swing states, in an effort to help Hillary Clinton win.
The email was sent by the former head of Google’s multicultural marketing department, Eliana Mario, on November 9, 2016.
“That email was subsequently forwarded by two Google VP’s to more staff members throughout the company,” says Carlson, adding “In her email, Mario touts Google’s multi-faceted efforts to boost Hispanic turnout in the election.
She noticed that Latino voters did record-breaking numbers, especially in states like Florida, Nevada and Arizona – the last of which she describes as “a key state for us.” She brags that the company used its power to ensure that millions of people saw certain hashtags and social media impressions, with the goal of influencing their behavior during the election.”
Elsewhere in the email Mario says “Google supported partners like Voto Latino to pay for rides to the polls in key states .” Hillary the Other Woman Dolly Kyle Best Price: $3.06 Buy New $8.93 (as of 01:15 EDT - Details) She describes this assistance as a “silent donation” Mario then says that Google helped Voto Latino create ad campaigns to promote those rides.
Now officially Voto Latino is a non-partisan entity, but that is a sham.
Voto Latino is vocally partisan.
Recently the group declared that Hispanics – ALL Hispanics are in President Trump’s “crosshairs.” They said they plan to respond to this by registering another million additional Hispanic voters in the next Presidential cycle.
… It was, in effect, an in-kind contribution to the Hillary Clinton for President campaign.
… In the end, Google was disappointed.
As Mario herself conceded “ultimately after all was said and done, the Latino community did come out to vote, and completely surprised us.
We never anticipated that 29% of Latinos would vote for Trump.
No one did.
–Tucker Carlson
Watch:
﻿
So it looks like @Google executives have been caught red-handed trying to throw the election to Hillary Clinton in 2016.
Maybe that’s why they refused to appear before Congress last week?https://t.co/1YELagt8hH — Andrew Surabian (@Surabees) September 11, 2018
This, of course, isn’t the first evidence of Google doing all they could to help Hillary win the election.
In an April 15, 2014 email from Google’s then-Executive Chairman Eric Schmidt found in the WikiLeaked Podesta emails, titled “Notes for a 2016 Democratic Campaign,” Schmidt tells Cheryl Mills that “I have put together my thoughts on the campaign ideas and I have scheduled some meetings in the next few weeks for veterans of the campaign to tell me how to make these ideas better.
This is simply a draft but do let me know if this is a helpful process for you all.”
While there are numerous curious nuances in the plan, presented below in its entirety, the one section that caught our – and Wikileaks’ attention – is the following which implicitly suggests Google planned the creation of a voter tracking database, using smart phones: Guilty as Sin: Uncover... Edward Klein Best Price: $2.30 Buy New $3.99 (as of 12:05 EDT - Details)
Key is the development of a single record for a voter that aggregates all that is known about them.
In 2016 smart phones will be used to identify, meet, and update profiles on the voter.
A dynamic volunteer can easily speak with a voter and, with their email or other digital handle, get the voter videos and other answers to areas they care about (“the benefits of ACA to you” etc.)
As a reminder, in late October of 2016 it was revealed that just days prior to the April 15, 2014 email, Schmidt had sent another email in which he expressed his eagerness to “fund” the campaign efforts and wants to be a “head outside advisor.” In the email from John Podesta to Robby Mook we learned that:
I met with Eric Schmidt tonight.
As David reported, he’s ready to fund, advise recruit talent, etc.
He was more deferential on structure than I expected.
Wasn’t pushing to run through one of his existing firms.
Clearly wants to be head outside advisor, but didn’t seem like he wanted to push others out.
Clearly wants to get going.
He’s still in DC tomorrow and would like to meet with you if you are in DC in the afternoon.
I think it’s worth doing.
You around?
If you are, and want to meet with him, maybe the four of us can get on t
Another email from February 2015 suggested that the Google Chairman remained active in its collaboration with the Clinton campaign: John Podesta wrote that Eric Schmidt met with HR “about the business he proposes to do with the campaign.
He says he’s met with HRC” and adds that “FYI.
They are donating the Google plane for the Africa trip”
Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”
The lead author of the study, Dr. Robert Epstein, has previously conducted research into what he calls the Search Engine Manipulation Effect (SEME).
This research showed that the manipulation of results pages in search engines can shift the voting preferences of undecideds by anywhere between 20 and 80 percent, depending on the demographic.
His latest research looks at how search engines can affect voters by suggesting negative or positive search terms when a political candidate’s name is entered into the search bar.
Dr. Epstein’s research found that when negative search terms are suggested for a candidate, it can have a dramatic effect on voter opinion.
–Breitbart
So, despite Google’s best efforts to help Clinton win the election, it simply wasn’t enough.
Meanwhile, Google has yet to answer why their search results for the word “Idiot” are vastly different from DuckDuckGo:
VS:
Reprinted with permission from Zero Hedge.
The Best of Tyler Durden

","Loaded_Language	985	995
Doubt	6165	6272
Loaded_Language	2291	2309
Name_Calling,Labeling	262	280
Name_Calling,Labeling	1572	1593
Loaded_Language	3347	3360
Loaded_Language	726	769
Doubt	2366	2431
Exaggeration,Minimisation	1681	1743
Loaded_Language	6014	6032
Exaggeration,Minimisation	843	870
Name_Calling,Labeling	1431	1449
Name_Calling,Labeling	1630	1646
Appeal_to_Authority	5025	5073
Loaded_Language	1599	1613
Loaded_Language	73	127
Exaggeration,Minimisation	2208	2218
"
"«У меня русская душа, давно хотела… А тут военные, вы кто, спрашиваю, хлопцы? А они - русские. Да не может быть! Слава тебе Богу! 8 лет ждали. Спасибо вам!» Жители освобожденного села Николаевка, которое на Волновахском направлении, встречают армию ДНР. Репортаж из села. sashakots А.Коц.","Exaggeration,Minimisation	164	194
Exaggeration,Minimisation	243	252
Loaded_Language	8	20
Thought-terminating_Cliches	95	111
"
Украинская столица заблокирована с западной стороны - Минобороны России.,"Appeal_to_fear-prejudice	0	51
"
"Бегущие из Славянска... Помните нацика Ваську Хоменко (по кличке ""Бернард""), который шоркался возле молоденьких девочек из Славянска, скачущих под модненькую среди кастрюлеголовых песенку про батьку их Соплю? Бегал, СУГСовал, орал, как станет защищать Украину. И вот тебе раз. Заявив, что Западная Украина - это такая же Украина, что и в Донбассе, ... свалил на автомобиле из ""родного края"" вместе с какой-то гримасничающей, страшненькой обезьянкой. Куда ж, куда ж ты побежало? Не помог тебе батька твой батька, Штефан Сопля (Бандера)? @nashdonbass","Name_Calling,Labeling	425	449
Loaded_Language	164	179
Doubt	450	477
Name_Calling,Labeling	512	534
Name_Calling,Labeling	32	45
Loaded_Language	478	535
Loaded_Language	188	207
Loaded_Language	85	119
Loaded_Language	216	224
"
"US staffer suffers brain injury after 'sound' incident in China | Bangkok Post: news

An American flag is flown next to the Chinese national emblem during a welcome ceremony for visiting US President Donald Trump outside the Great Hall of the People in Beijing on Nov 9, 2017.
(AP file photo)
BEIJING: The US embassy in China issued a health alert Wednesday after a US government employee experienced an ""abnormal"" sound and suffered a mild brain injury -- in an incident reminiscent of a mysterious illness that hit diplomats in Cuba.
US and Chinese authorities are investigating the matter after the employee, who was assigned to the southern city of Guangzhou, was diagnosed with mild traumatic brain injury (MTBI), said embassy spokeswoman Jinnie Lee.
In an alert emailed to US citizens in China, the embassy said it does not know what caused the symptoms or of any similar situations in the country.
In Cuba last year, the US disclosed that 24 diplomats and their family members had fallen victim to an unsolved mysterious attack that left them with injuries resembling brain trauma.
Ten Canadian diplomats and their relatives also suffered a strange illness.
""We cannot at this time connect it with what happened in Havana but we are investigating all possibilities,"" a US embassy official in Beijing told AFP on the condition of anonymity.
The embassy's health alert says the government employee ""recently reported subtle and vague, but abnormal, sensations of sound and pressure"".
""The US government is taking these reports seriously and has informed its official staff in China of this event,"" the message says.
US and Chinese authorities are investigating the matter, an embassy spokeswoman said
""While in China, if you experience any unusual acute auditory or sensory phenomena accompanied by unusual sounds or piercing noises, do not attempt to locate their source.
Instead, move to a location where the sounds are not present,"" it says, urging people with medical problems to consult a doctor.
Lee said the employee experienced ""a variety of physical symptoms"" between late 2017 through April 2018.
The person was sent to the United States and diagnosed with MTBI on May 18.
""The (State) Department is taking this incident very seriously and is working to determine the cause and impact of the incident,"" Lee said.
""The Chinese government has assured us they are also investigating and taking appropriate measures.""
The Chinese foreign ministry could not be immediately reached for comment.
- Cuban case -
In Cuba, the American victims had associated the onset of their symptoms with ""unusual sounds or auditory sensations"", a State Department physician told the US Senate in January.
Charles Rosenfarb, a doctor and director of the State Department bureau of medical services, said the symptoms were mixed but consistent with brain trauma.
The victims suffered headaches, hearing loss, disorientation and some loss of cognitive ability.
(Video YouTube/TIME)
Initially officials suspected the Americans had been targeted by some sort of acoustic weapon, although in public senior officials were more cautious, speaking of ""health attacks"".
Media reports have suggested that the FBI has not been able to verify any evidence to support the sonic weapon theory.
The US government has held Cuba responsible, arguing that Raul Castro's authoritarian state must have either carried out the assaults or at least known who was behind them.
The incident prompted the United States last year to withdraw more than half of its personnel at the embassy in Havana, which reopened in 2015 as the two nations re-established diplomatic relations that had ruptured in 1961.
Canada announced last month that it was bringing home the families of its diplomats in Cuba after a year-long investigation into the illness failed to reveal a cause.
""The cause (of their symptoms) remains unknown but could be human-made,"" the Canadian government concluded.
Canadian and US authorities had initially suspected a ""sonic attack"" or a ""mass psychosomatic incident"", but those are ""now considered unlikely"", a senior Canadian official said.
The symptoms included dizziness, headaches and a lack of ability to concentrate.
Unlike their American counterparts, however, no Canadian envoy reported hearing any suspicious sound prior to falling ill.

",
?  В Киев гремит серия взрывов с интервалом примерно в минуту.,
