,name,predicted_phrases
0,00024_04965.txt,
1,00030_08877.txt,"Exaggeration,Minimisation: последствия обстрела по детскому саду в Донецке"
2,00050_05750.txt,
3,00057_04788.txt,"Exaggeration,Minimisation: Военнослужащие ЛНР,
Exaggeration,Minimisation: Армия Киева покинула Старобельск и Северодонецк,
Appeal_to_Authority: Эти данные подтверждают местные жители"
4,00085_01092.txt,
5,00106_06678.txt,"Exaggeration,Minimisation: военной операции"
6,00110_07414.txt,
7,00111_07411.txt,
8,00114_06197.txt,
9,00122_00657.txt,"Exaggeration,Minimisation: Вежливые люди"
10,00131_00214.txt,
11,00140_03617.txt,"Exaggeration,Minimisation: Военнослужащие РФ предпринимают все меры для обеспечения безопасности мирных жителей и исключения провокаций со стороны Украины,
Exaggeration,Minimisation: подразделения российских ВС установили полный контроль над городом Мелитополь ,
Exaggeration,Minimisation: группировки войск ДНР и ЛНР при огневой поддержке ВС России продолжают развивать успех наступления,
Exaggeration,Minimisation: националистические батальоны, отходя, взрывают за собой электроподстанции и мосты"
12,00141_05998.txt,
13,00142_06814.txt,"Name_Calling,Labeling: ""Защитники грёбаные"",
Flag-Waving: оккупированная часть ДНР,
Exaggeration,Minimisation: ""Азова"""
14,00152_05775.txt,
15,00159_01332.txt,"Exaggeration,Minimisation: возможностью вернуть смертную казнь для самых опасных преступников"
16,00175_09016.txt,"Exaggeration,Minimisation: И это не шутка,
Exaggeration,Minimisation: И переговоры если и состоятся, то не в Минске, а в Тель-Авиве"
17,00192_07660.txt,
18,00205_02094.txt,"Name_Calling,Labeling: укропы"
19,00206_05048.txt,"Exaggeration,Minimisation: соединения и части ДНР,
Exaggeration,Minimisation: силы ЛНР"
20,00215_06538.txt,
21,00217_02980.txt,
22,00219_03096.txt,
23,00239_04271.txt,
24,00246_03331.txt,
25,00251_04488.txt,"Exaggeration,Minimisation: Тут ни один волос не упал,
Exaggeration,Minimisation: ВСУ разгромили колонну военных из Чечни,
Appeal_to_Authority: министр информации Чечни Ахмед Дудаев,
Doubt: Пишут, что якобы,
Appeal_to_Authority: Проект «Война с фейками» @warfakes опровергает это"
26,00260_05414.txt,
27,00281_08223.txt,Appeal_to_Authority: Путин
28,00296_00654.txt,
29,00301_02068.txt,
30,00314_00222.txt,"Exaggeration,Minimisation: провокационный огонь"
31,00317_00238.txt,"Flag-Waving: чеченских силовиков,
Causal_Oversimplification: попросил Зеленского извиниться перед Путиным,
Exaggeration,Minimisation: совет Зеленскому,
Loaded_Language: Ааа, ах вот куда собрались эти ребята!"
32,00318_09669.txt,Reductio_ad_hitlerum: Ukraine isn’t a real country
33,00339_07749.txt,Appeal_to_Authority: Дмитрий Песков:
34,00349_00495.txt,Appeal_to_fear-prejudice: Военнослужащие 57 омпбр ВСУ сложили оружие и добровольно перешли на сторону ЛНР
