step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,6.65567,0.4,,
2,7.05135,0.4,,
3,6.30742,0.4,,
4,6.87736,0.4,,
5,5.89704,0.66667,,
6,4.9181,0.75,,
7,6.65579,0.4,,
8,7.85195,0.6,,
9,5.45994,0.71429,,
10,5.80486,0.4,,
11,5.17824,0.77778,,
12,5.62392,0.66667,,
13,6.10293,0.66667,,
14,1.89489,0.68852,,
15,3.78332,0.8,,
16,2.16968,0.78571,,
17,4.88064,0.77778,,
18,4.80114,0.6,,
19,2.12807,0.76471,,
20,7.06188,0.4,,
21,3.73443,0.83333,,
22,3.02348,0.72,,
23,2.03189,0.78125,,
24,4.74245,0.66667,,
25,3.44364,0.77778,,
26,3.46938,0.77778,,
27,3.65185,0.6,,
28,1.74915,0.67742,,
29,5.69431,0.6,,
30,1.18738,0.78571,,
31,2.49302,0.69231,,
32,1.66697,0.72727,,
33,2.26246,0.77778,,
34,1.06119,0.73684,,
35,2.51645,0.8,,
36,0.69395,0.8481,,
37,0.78462,0.8125,,
38,2.17644,0.6,,
39,2.23898,0.8,,
40,0.72424,0.79167,,
41,1.6527,0.8,,
42,2.06238,0.625,,
43,1.24731,0.71429,,
44,0.7601,0.7027,,
45,1.15399,0.625,,
46,0.82273,0.73684,,
47,0.75677,0.75,,
48,1.19276,0.6,,
49,0.72838,0.8,,
50,0.71183,0.74074,,
51,0.48521,0.87879,,
52,0.70978,0.8125,,
53,0.4598,0.8125,,
54,0.46905,0.83871,,
55,0.40801,0.8125,,
56,0.35312,0.88889,,
57,1.28074,0.66667,,
58,0.44096,0.87805,,
59,0.64914,0.75,,
60,0.52306,0.88889,,
61,1.214,0.5,,
62,0.4733,0.82609,,
63,0.43809,1.0,,
64,0.30385,0.875,,
65,0.45599,0.86207,,
66,0.53639,0.8,,
67,0.36125,0.89189,,
68,0.76642,0.75,,
69,0.37191,0.88095,,
70,0.75234,0.76923,,
71,0.96308,0.8,,
72,0.69746,0.75,,
73,0.38638,0.89286,,
74,0.24475,1.0,,
75,0.61497,0.75,,
76,0.14257,1.0,,
77,0.42047,0.77778,,
78,0.17376,1.0,,
79,0.5293,0.8,,
80,1.46053,0.75,,
81,0.3485,1.0,,
82,2.37604,0.5,,
83,0.83707,0.625,,
84,0.02259,1.0,,
85,0.04844,1.0,,
86,0.48858,0.83333,,
87,1.26769,0.8,,
88,0.5193,0.88889,,
89,0.00473,1.0,,
90,0.00354,1.0,,
91,0.44355,0.875,,
92,0.00148,1.0,,
93,0.00068,1.0,,
94,1.19213,0.8,,
95,0.57158,0.81481,,
96,1.29676,0.88889,,
97,1.17699,0.875,,
98,0.00015,1.0,,
99,0.42375,0.88333,,
100,1.54958,0.875,0.54635,0.76923
101,0.00246,1.0,,
102,0.59426,0.8,,
103,0.31113,0.77778,,
104,0.33681,0.88889,,
105,0.64741,0.76923,,
106,0.60834,0.82222,,
107,0.04499,1.0,,
108,0.00078,1.0,,
109,0.85977,0.5,,
110,0.13659,1.0,,
111,0.40871,0.88889,,
112,0.00234,1.0,,
113,0.45112,0.8,,
114,0.00295,1.0,,
115,0.41259,0.77419,,
116,0.00032,1.0,,
117,0.57215,0.78571,,
118,0.90126,0.82353,,
119,0.05073,1.0,,
120,0.32731,0.84615,,
121,0.35118,0.86207,,
122,0.76598,0.8125,,
123,0.00024,1.0,,
124,0.94967,0.8125,,
125,0.73128,0.86667,,
126,2.27149,0.8,,
127,1.60836,0.8,,
128,0.49139,0.8125,,
129,0.87513,0.83333,,
130,0.94068,0.73684,,
131,0.53895,0.88889,,
132,1.10285,0.8,,
133,0.27385,0.88889,,
134,0.57542,0.8,,
135,0.56148,0.76471,,
136,0.09121,1.0,,
137,0.24771,0.88889,,
138,0.70462,0.73913,,
139,1.12976,0.6,,
140,0.04331,1.0,,
141,0.04528,1.0,,
142,1.08641,0.77778,,
143,0.8962,0.875,,
144,0.97543,0.8,,
145,0.90196,0.63158,,
146,0.84826,0.75,,
147,1.33957,0.8,,
148,0.71036,0.75,,
149,0.27086,0.88889,,
150,0.04093,1.0,,
151,0.64185,0.84211,,
152,0.06993,1.0,,
153,0.59727,0.69231,,
154,0.406,0.875,,
155,0.47091,0.82857,,
156,0.10498,1.0,,
157,0.06424,1.0,,
158,0.73803,0.77778,,
159,0.55062,0.83824,,
160,0.42237,0.88235,,
161,0.40982,0.81395,,
162,0.04327,1.0,,
163,0.08582,1.0,,
164,0.59991,0.8125,,
165,0.40458,0.925,,
166,0.0119,1.0,,
167,1.7444,0.8,,
168,0.84978,0.8125,,
169,0.64265,0.81818,,
170,0.42739,0.87179,,
171,1.26873,0.875,,
172,0.48349,0.92308,,
173,0.36468,0.83784,,
174,0.96764,0.69231,,
175,0.55765,0.85106,,
176,0.40827,0.86957,,
177,0.57795,0.8,,
178,0.4351,0.76471,,
179,0.49327,0.91667,,
180,0.15471,1.0,,
181,0.38775,0.875,,
182,0.4889,0.83784,,
183,0.35159,0.85366,,
184,0.44074,0.875,,
185,0.34514,0.85417,,
186,0.31414,0.84615,,
187,1.35248,0.6,,
188,0.74203,0.75,,
189,0.85455,0.8,,
190,0.384,0.82609,,
191,0.44896,0.85294,,
192,0.52943,0.76923,,
193,0.267,0.88889,,
194,0.4173,0.88889,,
195,0.32459,0.95833,,
196,0.91104,0.74286,,
197,0.45647,0.78947,,
198,0.44455,0.8,,
199,0.15074,1.0,,
200,0.42528,0.85417,0.52436,0.73333
201,0.57283,0.8,,
202,0.25919,0.8,,
203,0.20742,0.88889,,
204,0.05255,1.0,,
205,0.62105,0.84211,,
206,0.79069,0.76923,,
207,0.01258,1.0,,
208,0.01438,1.0,,
209,0.63571,0.8125,,
210,0.33071,0.91111,,
211,0.52703,0.85938,,
212,0.77769,0.88889,,
213,0.00073,1.0,,
214,0.62071,0.76,,
215,0.00172,1.0,,
216,0.49169,0.83333,,
217,0.53489,0.80769,,
218,0.00149,1.0,,
219,0.78819,0.875,,
220,0.91176,0.875,,
