step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.66327,0.77305,,
2,1.05233,0.89535,,
3,2.69984,0.8,,
4,4.6446,0.71429,,
5,2.78478,0.77143,,
6,1.17923,0.82869,,
7,1.62513,0.75676,,
8,8.02932,0.4,,
9,0.89108,0.91667,,
10,1.21645,0.85507,,
11,7.77846,0.4,,
12,2.48365,0.78571,,
13,1.10466,0.83871,,
14,0.81351,0.90698,,
15,1.39539,0.7538,,
16,0.85348,0.85217,,
17,1.25512,0.85484,,
18,5.4952,0.4,,
19,1.61398,0.80952,,
20,1.36421,0.78571,,
21,1.68762,0.82979,,
22,1.45585,0.81356,,
23,3.97016,0.64286,,
24,0.52015,0.88172,,
25,0.47387,0.87805,,
26,1.10554,0.83511,,
27,2.59712,0.8125,,
28,0.72505,0.84,,
29,0.36747,0.76923,,
30,0.46212,0.9,,
31,1.15841,0.83871,,
32,0.75366,0.83465,,
33,0.38037,0.875,,
34,1.11803,0.8,,
35,0.88081,0.83246,,
36,3.76816,0.4,,
37,0.71694,0.83218,,
38,0.58485,0.86667,,
39,0.82933,0.88889,,
40,3.54854,0.4,,
41,0.4789,0.88273,,
42,0.55493,0.8587,,
43,0.58055,0.86013,,
44,0.76412,0.78,,
45,1.02091,0.77049,,
46,1.09689,0.79032,,
47,0.49636,0.83824,,
48,0.62906,0.83871,,
49,0.5885,0.90476,,
50,0.22264,0.9,,
51,2.07231,0.8,,
52,1.96742,0.6,,
53,0.08979,1.0,,
54,1.42099,0.8,,
55,0.57665,0.77778,,
56,0.55146,0.84615,,
57,0.2415,0.92453,,
58,0.2677,0.92308,,
59,0.64666,0.83721,,
60,0.42144,0.89431,,
61,0.69119,0.84169,,
62,0.76485,0.78125,,
63,0.91912,0.6,,
64,0.73805,0.6,,
65,0.43989,0.8,,
66,0.24222,0.9,,
67,0.22603,0.9375,,
68,0.99531,0.75566,,
69,0.24744,1.0,,
70,0.13608,0.9375,,
71,0.31965,0.8,,
72,1.02457,0.75,,
73,1.42428,0.73333,,
74,0.75229,0.81538,,
75,0.04495,1.0,,
76,0.73642,0.83333,,
77,0.60077,0.85575,,
78,0.76928,0.83333,,
79,0.49608,0.87882,,
80,0.91662,0.78763,,
81,0.00639,1.0,,
82,0.34058,0.90385,,
83,0.00473,1.0,,
84,0.01266,1.0,,
85,0.32259,0.91781,,
86,0.5155,0.86377,,
87,0.6405,0.76923,,
88,0.00035,1.0,,
89,0.00127,1.0,,
90,0.51116,0.87179,,
91,0.61747,0.86859,,
92,0.0045,1.0,,
93,0.00043,1.0,,
94,0.88406,0.78641,,
95,2.8057,0.55556,,
96,0.55479,0.92308,,
97,0.82757,0.82143,,
98,1.2888,0.7,,
99,0.68822,0.82353,,
100,0.56991,0.86479,0.46591,0.89535
101,0.48657,0.8821,,
102,0.3254,0.90698,,
