Time,Step,Training loss,Validation loss,Full Validation loss
22:41:02,1167,0.9465,-,-
22:40:59,1166,1.0825,-,-
22:40:59,1165,1.4970,-,-
22:40:59,1164,1.4396,-,-
22:40:58,1163,1.3971,-,-
22:40:54,1162,0.7712,-,-
22:40:54,1161,0.9157,-,-
22:40:53,1160,1.2959,-,-
22:40:53,1159,0.8012,-,-
22:40:50,1158,0.0002,-,-
22:40:50,1157,0.8411,-,-
22:40:50,1156,1.1819,-,-
22:40:48,1155,0.0001,-,-
22:40:45,1154,0.0000,-,-
22:40:45,1153,1.3134,-,-
22:40:45,1152,0.0001,-,-
22:40:45,1151,1.3169,-,-
22:40:44,1150,1.1226,-,-
22:40:40,1149,1.2357,-,-
22:40:40,1148,0.0009,-,-
22:40:40,1147,1.0028,-,-
22:40:40,1146,0.0019,-,-
22:40:40,1145,1.3878,-,-
22:40:39,1144,1.0817,-,-
22:40:34,1143,1.2412,-,-
22:40:34,1142,1.5424,-,-
22:40:34,1141,1.2422,-,-
22:40:32,1140,0.0012,-,-
22:40:29,1139,1.3918,-,-
22:40:29,1138,0.0001,-,-
22:40:29,1137,1.6241,-,-
22:40:29,1136,1.5307,-,-
22:40:25,1135,0.7073,-,-
22:40:25,1134,0.9251,-,-
22:40:25,1133,1.3804,-,-
22:40:24,1132,1.0441,-,-
22:40:21,1131,0.0024,-,-
22:40:19,1130,1.3464,-,-
22:40:19,1129,1.4309,-,-
22:40:19,1128,1.4659,-,-
22:40:16,1127,1.2772,-,-
22:40:16,1126,1.6549,-,-
22:40:16,1125,0.0006,-,-
22:40:15,1124,0.0000,-,-
22:40:11,1123,1.3571,-,-
22:40:11,1122,0.9763,-,-
22:40:11,1121,1.2309,-,-
22:40:10,1120,0.7630,-,-
22:40:10,1119,0.0006,-,-
22:40:07,1118,0.3299,-,-
22:40:07,1117,1.3015,-,-
22:40:07,1116,1.2115,-,-
22:40:07,1115,1.2667,-,-
22:40:07,1114,0.9656,-,-
22:40:06,1113,1.3461,-,-
22:40:01,1112,1.5993,-,-
22:40:01,1111,0.0022,-,-
22:40:00,1110,0.9783,-,-
22:39:58,1109,1.3322,-,-
22:39:55,1108,0.0001,-,-
22:39:55,1107,1.0166,-,-
22:39:55,1106,1.6893,-,-
22:39:55,1105,0.0366,-,-
22:39:52,1104,0.7805,-,-
22:39:52,1103,1.1839,-,-
22:39:52,1102,0.9766,-,-
22:39:50,1101,0.4681,-,-
22:39:46,1100,0.0001,1.2839,-
22:39:46,1099,1.0315,-,-
22:39:46,1098,0.0020,-,-
22:39:46,1097,0.7630,-,-
22:39:42,1096,0.0042,-,-
22:39:42,1095,1.5328,-,-
